Year,Date,District,Crop,Season,Rainfall_mm,Soil_Moisture_Percent,Area_hectare,Production_tonnes,Yield_tonnes_per_hectare
2026,2026-09-03,Ahmednagar,Sugarcane,Kharif,4.9,31.11,86471,6505213.33,75.23
2026,2026-08-19,Akola,Maize,Kharif,0.0,21.17,85783,233329.76,2.72
2026,2026-08-20,Akola,Maize,Kharif,46.0,19.21,85783,233329.76,2.72
2026,2026-08-21,Akola,Maize,Kharif,24.6,18.74,85783,233329.76,2.72
2026,2026-08-22,Akola,Maize,Kharif,23.9,15.88,85783,233329.76,2.72
2026,2026-08-23,Akola,Maize,Kharif,14.6,18.99,85783,233329.76,2.72
2026,2026-08-24,Akola,Maize,Kharif,17.6,15.37,85783,233329.76,2.72
2026,2026-08-25,Akola,Maize,Kharif,2.0,16.43,85783,233329.76,2.72
2026,2026-08-26,Akola,Maize,Kharif,46.5,19.86,85783,233329.76,2.72
2026,2026-08-27,Akola,Maize,Kharif,1.7,17.53,85783,233329.76,2.72
2026,2026-08-28,Akola,Maize,Kharif,7.1,16.79,85783,233329.76,2.72
2026,2026-08-29,Akola,Maize,Kharif,0.0,17.33,85783,233329.76,2.72
2026,2026-08-30,Akola,Maize,Kharif,15.0,18.04,85783,233329.76,2.72
2026,2026-08-31,Akola,Maize,Kharif,8.3,17.41,85783,233329.76,2.72
2026,2026-09-01,Akola,Maize,Kharif,17.5,13.9,85783,233329.76,2.72
2026,2026-09-02,Akola,Maize,Kharif,56.6,12.48,85783,233329.76,2.72
2026,2026-09-03,Akola,Maize,Kharif,4.6,13.95,85783,233329.76,2.72
2026,2026-08-19,Akola,Soybean,Kharif,29.5,21.17,182860,237718.0,1.3
2026,2026-08-20,Akola,Soybean,Kharif,17.0,19.21,182860,237718.0,1.3
2026,2026-08-21,Akola,Soybean,Kharif,17.6,18.74,182860,237718.0,1.3
2026,2026-08-22,Akola,Soybean,Kharif,47.2,15.88,182860,237718.0,1.3
2026,2026-08-23,Akola,Soybean,Kharif,1.1,18.99,182860,237718.0,1.3
2026,2026-08-24,Akola,Soybean,Kharif,30.9,15.37,182860,237718.0,1.3
2026,2026-08-25,Akola,Soybean,Kharif,12.3,16.43,182860,237718.0,1.3
2026,2026-08-26,Akola,Soybean,Kharif,18.4,19.86,182860,237718.0,1.3
2026,2026-08-27,Akola,Soybean,Kharif,17.4,17.53,182860,237718.0,1.3
2026,2026-08-28,Akola,Soybean,Kharif,10.9,16.79,182860,237718.0,1.3
2026,2026-08-29,Akola,Soybean,Kharif,33.5,17.33,182860,237718.0,1.3
2026,2026-08-30,Akola,Soybean,Kharif,24.4,18.04,182860,237718.0,1.3
2026,2026-08-31,Akola,Soybean,Kharif,11.9,17.41,182860,237718.0,1.3
2026,2026-09-01,Akola,Soybean,Kharif,28.6,13.9,182860,237718.0,1.3
2026,2026-09-02,Akola,Soybean,Kharif,47.4,12.48,182860,237718.0,1.3
2026,2026-09-03,Akola,Soybean,Kharif,1.0,13.95,182860,237718.0,1.3
2026,2026-08-19,Akola,Cotton,Kharif,56.9,21.17,200458,84192.36,0.42
2026,2026-08-20,Akola,Cotton,Kharif,8.1,19.21,200458,84192.36,0.42
2026,2026-08-21,Akola,Cotton,Kharif,15.4,18.74,200458,84192.36,0.42
2026,2026-08-22,Akola,Cotton,Kharif,14.2,15.88,200458,84192.36,0.42
2026,2026-08-23,Akola,Cotton,Kharif,13.0,18.99,200458,84192.36,0.42
2026,2026-08-24,Akola,Cotton,Kharif,43.5,15.37,200458,84192.36,0.42
2026,2026-08-25,Akola,Cotton,Kharif,7.6,16.43,200458,84192.36,0.42
2026,2026-08-26,Akola,Cotton,Kharif,56.5,19.86,200458,84192.36,0.42
2026,2026-08-27,Akola,Cotton,Kharif,4.2,17.53,200458,84192.36,0.42
2026,2026-08-28,Akola,Cotton,Kharif,14.2,16.79,200458,84192.36,0.42
2026,2026-08-29,Akola,Cotton,Kharif,35.9,17.33,200458,84192.36,0.42
2026,2026-08-30,Akola,Cotton,Kharif,1.3,18.04,200458,84192.36,0.42
2026,2026-08-31,Akola,Cotton,Kharif,59.9,17.41,200458,84192.36,0.42
2026,2026-09-01,Akola,Cotton,Kharif,3.6,13.9,200458,84192.36,0.42
2026,2026-09-02,Akola,Cotton,Kharif,26.0,12.48,200458,84192.36,0.42
2026,2026-09-03,Akola,Cotton,Kharif,46.1,13.95,200458,84192.36,0.42
2026,2026-08-19,Akola,Sugarcane,Kharif,36.1,21.17,76295,6312648.3,82.74
2026,2026-08-20,Akola,Sugarcane,Kharif,25.5,19.21,76295,6312648.3,82.74
2026,2026-08-21,Akola,Sugarcane,Kharif,15.7,18.74,76295,6312648.3,82.74
2026,2026-08-22,Akola,Sugarcane,Kharif,22.1,15.88,76295,6312648.3,82.74
2026,2026-08-23,Akola,Sugarcane,Kharif,20.2,18.99,76295,6312648.3,82.74
2026,2026-08-24,Akola,Sugarcane,Kharif,1.7,15.37,76295,6312648.3,82.74
2026,2026-08-25,Akola,Sugarcane,Kharif,14.2,16.43,76295,6312648.3,82.74
2026,2026-08-26,Akola,Sugarcane,Kharif,22.7,19.86,76295,6312648.3,82.74
2026,2026-08-27,Akola,Sugarcane,Kharif,16.6,17.53,76295,6312648.3,82.74
2026,2026-08-28,Akola,Sugarcane,Kharif,18.8,16.79,76295,6312648.3,82.74
2026,2026-08-29,Akola,Sugarcane,Kharif,20.0,17.33,76295,6312648.3,82.74
2026,2026-08-30,Akola,Sugarcane,Kharif,51.9,18.04,76295,6312648.3,82.74
2026,2026-08-31,Akola,Sugarcane,Kharif,12.0,17.41,76295,6312648.3,82.74
2026,2026-09-01,Akola,Sugarcane,Kharif,21.5,13.9,76295,6312648.3,82.74
2026,2026-09-02,Akola,Sugarcane,Kharif,13.5,12.48,76295,6312648.3,82.74
2026,2026-09-03,Akola,Sugarcane,Kharif,21.7,13.95,76295,6312648.3,82.74
2026,2026-08-19,Amravati,Maize,Kharif,3.1,22.32,74903,228454.15,3.05
2026,2026-08-20,Amravati,Maize,Kharif,9.6,26.48,74903,228454.15,3.05
2026,2026-08-21,Amravati,Maize,Kharif,15.7,25.84,74903,228454.15,3.05
2026,2026-08-22,Amravati,Maize,Kharif,51.5,22.24,74903,228454.15,3.05
2026,2026-08-23,Amravati,Maize,Kharif,8.7,24.05,74903,228454.15,3.05
2026,2026-08-24,Amravati,Maize,Kharif,3.8,22.26,74903,228454.15,3.05
2026,2026-08-25,Amravati,Maize,Kharif,1.2,25.14,74903,228454.15,3.05
2026,2026-08-26,Amravati,Maize,Kharif,0.0,22.18,74903,228454.15,3.05
2026,2026-08-27,Amravati,Maize,Kharif,42.2,20.78,74903,228454.15,3.05
2026,2026-08-28,Amravati,Maize,Kharif,3.2,20.44,74903,228454.15,3.05
2026,2026-08-29,Amravati,Maize,Kharif,4.3,22.1,74903,228454.15,3.05
2026,2026-08-30,Amravati,Maize,Kharif,3.4,20.07,74903,228454.15,3.05
2026,2026-08-31,Amravati,Maize,Kharif,0.0,21.77,74903,228454.15,3.05
2026,2026-09-01,Amravati,Maize,Kharif,0.0,23.42,74903,228454.15,3.05
2026,2026-09-02,Amravati,Maize,Kharif,0.0,20.2,74903,228454.15,3.05
2026,2026-09-03,Amravati,Maize,Kharif,0.0,18.88,74903,228454.15,3.05
2026,2026-08-19,Amravati,Soybean,Kharif,0.6,22.32,260844,305187.48,1.17
2026,2026-08-20,Amravati,Soybean,Kharif,23.5,26.48,260844,305187.48,1.17
2026,2026-08-21,Amravati,Soybean,Kharif,26.4,25.84,260844,305187.48,1.17
2026,2026-08-22,Amravati,Soybean,Kharif,48.3,22.24,260844,305187.48,1.17
2026,2026-08-23,Amravati,Soybean,Kharif,55.8,24.05,260844,305187.48,1.17
2026,2026-08-24,Amravati,Soybean,Kharif,27.0,22.26,260844,305187.48,1.17
2026,2026-08-25,Amravati,Soybean,Kharif,5.2,25.14,260844,305187.48,1.17
2026,2026-08-26,Amravati,Soybean,Kharif,21.3,22.18,260844,305187.48,1.17
2026,2026-08-27,Amravati,Soybean,Kharif,35.0,20.78,260844,305187.48,1.17
2026,2026-08-28,Amravati,Soybean,Kharif,1.9,20.44,260844,305187.48,1.17
2026,2026-08-29,Amravati,Soybean,Kharif,53.1,22.1,260844,305187.48,1.17
2026,2026-08-30,Amravati,Soybean,Kharif,59.2,20.07,260844,305187.48,1.17
2026,2026-08-31,Amravati,Soybean,Kharif,33.2,21.77,260844,305187.48,1.17
2026,2026-09-01,Amravati,Soybean,Kharif,20.0,23.42,260844,305187.48,1.17
2026,2026-09-02,Amravati,Soybean,Kharif,18.4,20.2,260844,305187.48,1.17
2026,2026-09-03,Amravati,Soybean,Kharif,14.1,18.88,260844,305187.48,1.17
2026,2026-08-19,Amravati,Cotton,Kharif,6.1,22.32,331377,155747.19,0.47
2026,2026-08-20,Amravati,Cotton,Kharif,37.7,26.48,331377,155747.19,0.47
2026,2026-08-21,Amravati,Cotton,Kharif,33.1,25.84,331377,155747.19,0.47
2026,2026-08-22,Amravati,Cotton,Kharif,19.3,22.24,331377,155747.19,0.47
2026,2026-08-23,Amravati,Cotton,Kharif,40.5,24.05,331377,155747.19,0.47
2026,2026-08-24,Amravati,Cotton,Kharif,1.6,22.26,331377,155747.19,0.47
2026,2026-08-25,Amravati,Cotton,Kharif,42.6,25.14,331377,155747.19,0.47
2026,2026-08-26,Amravati,Cotton,Kharif,29.0,22.18,331377,155747.19,0.47
2026,2026-08-27,Amravati,Cotton,Kharif,31.6,20.78,331377,155747.19,0.47
2026,2026-08-28,Amravati,Cotton,Kharif,30.4,20.44,331377,155747.19,0.47
2026,2026-08-29,Amravati,Cotton,Kharif,0.9,22.1,331377,155747.19,0.47
2026,2026-08-30,Amravati,Cotton,Kharif,26.3,20.07,331377,155747.19,0.47
2026,2026-08-31,Amravati,Cotton,Kharif,24.6,21.77,331377,155747.19,0.47
2026,2026-09-01,Amravati,Cotton,Kharif,13.9,23.42,331377,155747.19,0.47
2026,2026-09-02,Amravati,Cotton,Kharif,13.5,20.2,331377,155747.19,0.47
2026,2026-09-03,Amravati,Cotton,Kharif,18.6,18.88,331377,155747.19,0.47
2026,2026-08-19,Amravati,Sugarcane,Kharif,35.8,22.32,63290,4832191.5,76.35
2026,2026-08-20,Amravati,Sugarcane,Kharif,0.0,26.48,63290,4832191.5,76.35
2026,2026-08-21,Amravati,Sugarcane,Kharif,37.5,25.84,63290,4832191.5,76.35
2026,2026-08-22,Amravati,Sugarcane,Kharif,20.0,22.24,63290,4832191.5,76.35
2026,2026-08-23,Amravati,Sugarcane,Kharif,20.6,24.05,63290,4832191.5,76.35
2026,2026-08-24,Amravati,Sugarcane,Kharif,12.1,22.26,63290,4832191.5,76.35
2026,2026-08-25,Amravati,Sugarcane,Kharif,24.3,25.14,63290,4832191.5,76.35
2026,2026-08-26,Amravati,Sugarcane,Kharif,23.9,22.18,63290,4832191.5,76.35
2026,2026-08-27,Amravati,Sugarcane,Kharif,6.4,20.78,63290,4832191.5,76.35
2026,2026-08-28,Amravati,Sugarcane,Kharif,1.6,20.44,63290,4832191.5,76.35
2026,2026-08-29,Amravati,Sugarcane,Kharif,4.8,22.1,63290,4832191.5,76.35
2026,2026-08-30,Amravati,Sugarcane,Kharif,1.1,20.07,63290,4832191.5,76.35
2026,2026-08-31,Amravati,Sugarcane,Kharif,1.5,21.77,63290,4832191.5,76.35
2026,2026-09-01,Amravati,Sugarcane,Kharif,16.6,23.42,63290,4832191.5,76.35
2026,2026-09-02,Amravati,Sugarcane,Kharif,28.9,20.2,63290,4832191.5,76.35
2026,2026-09-03,Amravati,Sugarcane,Kharif,1.8,18.88,63290,4832191.5,76.35
2026,2026-08-19,Aurangabad,Maize,Kharif,38.6,22.97,114689,332598.1,2.9
2026,2026-08-20,Aurangabad,Maize,Kharif,0.5,20.95,114689,332598.1,2.9
2026,2026-08-21,Aurangabad,Maize,Kharif,4.1,21.19,114689,332598.1,2.9
2026,2026-08-22,Aurangabad,Maize,Kharif,1.6,22.06,114689,332598.1,2.9
2026,2026-08-23,Aurangabad,Maize,Kharif,3.5,25.67,114689,332598.1,2.9
2026,2026-08-24,Aurangabad,Maize,Kharif,6.3,27.15,114689,332598.1,2.9
2026,2026-08-25,Aurangabad,Maize,Kharif,7.4,25.43,114689,332598.1,2.9
2026,2026-08-26,Aurangabad,Maize,Kharif,4.8,23.77,114689,332598.1,2.9
2026,2026-08-27,Aurangabad,Maize,Kharif,0.0,26.18,114689,332598.1,2.9
2026,2026-08-28,Aurangabad,Maize,Kharif,12.4,30.37,114689,332598.1,2.9
2026,2026-08-29,Aurangabad,Maize,Kharif,36.1,28.06,114689,332598.1,2.9
2026,2026-08-30,Aurangabad,Maize,Kharif,11.1,31.21,114689,332598.1,2.9
2026,2026-08-31,Aurangabad,Maize,Kharif,48.0,31.05,114689,332598.1,2.9
2026,2026-09-01,Aurangabad,Maize,Kharif,7.8,26.45,114689,332598.1,2.9
2026,2026-09-02,Aurangabad,Maize,Kharif,4.4,31.2,114689,332598.1,2.9
2026,2026-09-03,Aurangabad,Maize,Kharif,1.4,31.46,114689,332598.1,2.9
2026,2026-08-19,Aurangabad,Soybean,Kharif,0.2,22.97,166242,199490.4,1.2
2026,2026-08-20,Aurangabad,Soybean,Kharif,14.6,20.95,166242,199490.4,1.2
2026,2026-08-21,Aurangabad,Soybean,Kharif,0.6,21.19,166242,199490.4,1.2
2026,2026-08-22,Aurangabad,Soybean,Kharif,16.4,22.06,166242,199490.4,1.2
2026,2026-08-23,Aurangabad,Soybean,Kharif,48.3,25.67,166242,199490.4,1.2
2026,2026-08-24,Aurangabad,Soybean,Kharif,21.1,27.15,166242,199490.4,1.2
2026,2026-08-25,Aurangabad,Soybean,Kharif,33.3,25.43,166242,199490.4,1.2
2026,2026-08-26,Aurangabad,Soybean,Kharif,51.3,23.77,166242,199490.4,1.2
2026,2026-08-27,Aurangabad,Soybean,Kharif,30.5,26.18,166242,199490.4,1.2
2026,2026-08-28,Aurangabad,Soybean,Kharif,25.1,30.37,166242,199490.4,1.2
2026,2026-08-29,Aurangabad,Soybean,Kharif,31.8,28.06,166242,199490.4,1.2
2026,2026-08-30,Aurangabad,Soybean,Kharif,15.2,31.21,166242,199490.4,1.2
2026,2026-08-31,Aurangabad,Soybean,Kharif,0.9,31.05,166242,199490.4,1.2
2026,2026-09-01,Aurangabad,Soybean,Kharif,25.6,26.45,166242,199490.4,1.2
2026,2026-09-02,Aurangabad,Soybean,Kharif,33.6,31.2,166242,199490.4,1.2
2026,2026-09-03,Aurangabad,Soybean,Kharif,1.7,31.46,166242,199490.4,1.2
2026,2026-08-19,Aurangabad,Cotton,Kharif,1.5,22.97,338379,155654.34,0.46
2026,2026-08-20,Aurangabad,Cotton,Kharif,21.7,20.95,338379,155654.34,0.46
2026,2026-08-21,Aurangabad,Cotton,Kharif,0.0,21.19,338379,155654.34,0.46
2026,2026-08-22,Aurangabad,Cotton,Kharif,1.6,22.06,338379,155654.34,0.46
2026,2026-08-23,Aurangabad,Cotton,Kharif,0.7,25.67,338379,155654.34,0.46
2026,2026-08-24,Aurangabad,Cotton,Kharif,6.9,27.15,338379,155654.34,0.46
2026,2026-08-25,Aurangabad,Cotton,Kharif,0.0,25.43,338379,155654.34,0.46
2026,2026-08-26,Aurangabad,Cotton,Kharif,50.0,23.77,338379,155654.34,0.46
2026,2026-08-27,Aurangabad,Cotton,Kharif,2.0,26.18,338379,155654.34,0.46
2026,2026-08-28,Aurangabad,Cotton,Kharif,4.3,30.37,338379,155654.34,0.46
2026,2026-08-29,Aurangabad,Cotton,Kharif,18.9,28.06,338379,155654.34,0.46
2026,2026-08-30,Aurangabad,Cotton,Kharif,16.6,31.21,338379,155654.34,0.46
2026,2026-08-31,Aurangabad,Cotton,Kharif,0.0,31.05,338379,155654.34,0.46
2026,2026-09-01,Aurangabad,Cotton,Kharif,0.3,26.45,338379,155654.34,0.46
2026,2026-09-02,Aurangabad,Cotton,Kharif,55.5,31.2,338379,155654.34,0.46
2026,2026-09-03,Aurangabad,Cotton,Kharif,5.7,31.46,338379,155654.34,0.46
2026,2026-08-19,Aurangabad,Sugarcane,Kharif,22.1,22.97,82899,7110247.23,85.77
2026,2026-08-20,Aurangabad,Sugarcane,Kharif,28.9,20.95,82899,7110247.23,85.77
2026,2026-08-21,Aurangabad,Sugarcane,Kharif,34.9,21.19,82899,7110247.23,85.77
2026,2026-08-22,Aurangabad,Sugarcane,Kharif,39.7,22.06,82899,7110247.23,85.77
2026,2026-08-23,Aurangabad,Sugarcane,Kharif,24.2,25.67,82899,7110247.23,85.77
2026,2026-08-24,Aurangabad,Sugarcane,Kharif,30.7,27.15,82899,7110247.23,85.77
2026,2026-08-25,Aurangabad,Sugarcane,Kharif,1.5,25.43,82899,7110247.23,85.77
2026,2026-08-26,Aurangabad,Sugarcane,Kharif,32.4,23.77,82899,7110247.23,85.77
2026,2026-08-27,Aurangabad,Sugarcane,Kharif,19.4,26.18,82899,7110247.23,85.77
2026,2026-08-28,Aurangabad,Sugarcane,Kharif,30.1,30.37,82899,7110247.23,85.77
2026,2026-08-29,Aurangabad,Sugarcane,Kharif,20.5,28.06,82899,7110247.23,85.77
2026,2026-08-30,Aurangabad,Sugarcane,Kharif,0.3,31.21,82899,7110247.23,85.77
2026,2026-08-31,Aurangabad,Sugarcane,Kharif,22.2,31.05,82899,7110247.23,85.77
2026,2026-09-01,Aurangabad,Sugarcane,Kharif,22.0,26.45,82899,7110247.23,85.77
2026,2026-09-02,Aurangabad,Sugarcane,Kharif,35.3,31.2,82899,7110247.23,85.77
2026,2026-09-03,Aurangabad,Sugarcane,Kharif,21.6,31.46,82899,7110247.23,85.77
2026,2026-08-19,Bhandara,Maize,Kharif,20.6,33.12,91956,301615.68,3.28
2026,2026-08-20,Bhandara,Maize,Kharif,3.3,34.82,91956,301615.68,3.28
2026,2026-08-21,Bhandara,Maize,Kharif,0.0,33.59,91956,301615.68,3.28
2026,2026-08-22,Bhandara,Maize,Kharif,0.8,30.68,91956,301615.68,3.28
2026,2026-08-23,Bhandara,Maize,Kharif,14.0,32.88,91956,301615.68,3.28
2026,2026-08-24,Bhandara,Maize,Kharif,7.6,31.32,91956,301615.68,3.28
2026,2026-08-25,Bhandara,Maize,Kharif,0.5,37.04,91956,301615.68,3.28
2026,2026-08-26,Bhandara,Maize,Kharif,20.5,37.0,91956,301615.68,3.28
2026,2026-08-27,Bhandara,Maize,Kharif,7.9,36.98,91956,301615.68,3.28
2026,2026-08-28,Bhandara,Maize,Kharif,4.6,34.1,91956,301615.68,3.28
2026,2026-08-29,Bhandara,Maize,Kharif,0.0,32.86,91956,301615.68,3.28
2026,2026-08-30,Bhandara,Maize,Kharif,21.6,38.04,91956,301615.68,3.28
2026,2026-08-31,Bhandara,Maize,Kharif,0.0,38.72,91956,301615.68,3.28
2026,2026-09-01,Bhandara,Maize,Kharif,56.6,33.81,91956,301615.68,3.28
2026,2026-09-02,Bhandara,Maize,Kharif,14.2,36.48,91956,301615.68,3.28
2026,2026-09-03,Bhandara,Maize,Kharif,5.2,34.24,91956,301615.68,3.28
2026,2026-08-19,Bhandara,Soybean,Kharif,0.6,33.12,203966,267195.46,1.31
2026,2026-08-20,Bhandara,Soybean,Kharif,0.0,34.82,203966,267195.46,1.31
2026,2026-08-21,Bhandara,Soybean,Kharif,16.2,33.59,203966,267195.46,1.31
2026,2026-08-22,Bhandara,Soybean,Kharif,1.7,30.68,203966,267195.46,1.31
2026,2026-08-23,Bhandara,Soybean,Kharif,0.0,32.88,203966,267195.46,1.31
2026,2026-08-24,Bhandara,Soybean,Kharif,0.0,31.32,203966,267195.46,1.31
2026,2026-08-25,Bhandara,Soybean,Kharif,6.1,37.04,203966,267195.46,1.31
2026,2026-08-26,Bhandara,Soybean,Kharif,4.9,37.0,203966,267195.46,1.31
2026,2026-08-27,Bhandara,Soybean,Kharif,11.5,36.98,203966,267195.46,1.31
2026,2026-08-28,Bhandara,Soybean,Kharif,1.0,34.1,203966,267195.46,1.31
2026,2026-08-29,Bhandara,Soybean,Kharif,43.7,32.86,203966,267195.46,1.31
2026,2026-08-30,Bhandara,Soybean,Kharif,13.5,38.04,203966,267195.46,1.31
2026,2026-08-31,Bhandara,Soybean,Kharif,0.0,38.72,203966,267195.46,1.31
2026,2026-09-01,Bhandara,Soybean,Kharif,0.4,33.81,203966,267195.46,1.31
2026,2026-09-02,Bhandara,Soybean,Kharif,8.1,36.48,203966,267195.46,1.31
2026,2026-09-03,Bhandara,Soybean,Kharif,0.0,34.24,203966,267195.46,1.31
2026,2026-08-19,Bhandara,Cotton,Kharif,20.8,33.12,335339,154255.94,0.46
2026,2026-08-20,Bhandara,Cotton,Kharif,6.9,34.82,335339,154255.94,0.46
2026,2026-08-21,Bhandara,Cotton,Kharif,49.1,33.59,335339,154255.94,0.46
2026,2026-08-22,Bhandara,Cotton,Kharif,9.1,30.68,335339,154255.94,0.46
2026,2026-08-23,Bhandara,Cotton,Kharif,9.2,32.88,335339,154255.94,0.46
2026,2026-08-24,Bhandara,Cotton,Kharif,28.3,31.32,335339,154255.94,0.46
2026,2026-08-25,Bhandara,Cotton,Kharif,24.1,37.04,335339,154255.94,0.46
2026,2026-08-26,Bhandara,Cotton,Kharif,29.4,37.0,335339,154255.94,0.46
2026,2026-08-27,Bhandara,Cotton,Kharif,23.7,36.98,335339,154255.94,0.46
2026,2026-08-28,Bhandara,Cotton,Kharif,34.6,34.1,335339,154255.94,0.46
2026,2026-08-29,Bhandara,Cotton,Kharif,1.7,32.86,335339,154255.94,0.46
