Year,Date,District,Soil_Moisture_Percent,Unit
2026,2026-08-22,Nanded,37.18,percent
2026,2026-08-23,Nanded,37.52,percent
2026,2026-08-24,Nanded,33.12,percent
2026,2026-08-25,Nanded,35.02,percent
2026,2026-08-26,Nanded,33.3,percent
2026,2026-08-27,Nanded,36.52,percent
2026,2026-08-28,Nanded,33.57,percent
2026,2026-08-29,Nanded,35.72,percent
2026,2026-08-30,Nanded,30.5,percent
2026,2026-08-31,Nanded,35.36,percent
2026,2026-09-01,Nanded,30.34,percent
2026,2026-09-02,Nanded,34.77,percent
2026,2026-09-03,Nanded,30.31,percent
2026,2026-08-19,Nandurbar,17.75,percent
2026,2026-08-20,Nandurbar,19.12,percent
2026,2026-08-21,Nandurbar,16.24,percent
2026,2026-08-22,Nandurbar,17.61,percent
2026,2026-08-23,Nandurbar,16.65,percent
2026,2026-08-24,Nandurbar,15.5,percent
2026,2026-08-25,Nandurbar,16.25,percent
2026,2026-08-26,Nandurbar,13.93,percent
2026,2026-08-27,Nandurbar,16.26,percent
2026,2026-08-28,Nandurbar,12.0,percent
2026,2026-08-29,Nandurbar,16.78,percent
2026,2026-08-30,Nandurbar,14.07,percent
2026,2026-08-31,Nandurbar,14.76,percent
2026,2026-09-01,Nandurbar,14.5,percent
2026,2026-09-02,Nandurbar,13.68,percent
2026,2026-09-03,Nandurbar,12.0,percent
2026,2026-08-19,Nashik,36.71,percent
2026,2026-08-20,Nashik,34.28,percent
2026,2026-08-21,Nashik,33.75,percent
2026,2026-08-22,Nashik,36.53,percent
2026,2026-08-23,Nashik,35.33,percent
2026,2026-08-24,Nashik,32.38,percent
2026,2026-08-25,Nashik,32.0,percent
2026,2026-08-26,Nashik,32.17,percent
2026,2026-08-27,Nashik,31.7,percent
2026,2026-08-28,Nashik,30.63,percent
2026,2026-08-29,Nashik,29.19,percent
2026,2026-08-30,Nashik,30.52,percent
2026,2026-08-31,Nashik,33.21,percent
2026,2026-09-01,Nashik,31.2,percent
2026,2026-09-02,Nashik,32.12,percent
2026,2026-09-03,Nashik,29.97,percent
2026,2026-08-19,Osmanabad,33.65,percent
2026,2026-08-20,Osmanabad,30.16,percent
2026,2026-08-21,Osmanabad,31.68,percent
2026,2026-08-22,Osmanabad,32.34,percent
2026,2026-08-23,Osmanabad,33.04,percent
2026,2026-08-24,Osmanabad,33.29,percent
2026,2026-08-25,Osmanabad,31.95,percent
2026,2026-08-26,Osmanabad,31.62,percent
2026,2026-08-27,Osmanabad,30.05,percent
2026,2026-08-28,Osmanabad,31.41,percent
2026,2026-08-29,Osmanabad,33.78,percent
2026,2026-08-30,Osmanabad,32.95,percent
2026,2026-08-31,Osmanabad,28.99,percent
2026,2026-09-01,Osmanabad,28.28,percent
2026,2026-09-02,Osmanabad,30.67,percent
2026,2026-09-03,Osmanabad,31.17,percent
2026,2026-08-19,Palghar,27.4,percent
2026,2026-08-20,Palghar,26.83,percent
2026,2026-08-21,Palghar,26.19,percent
2026,2026-08-22,Palghar,23.34,percent
2026,2026-08-23,Palghar,23.02,percent
2026,2026-08-24,Palghar,21.81,percent
2026,2026-08-25,Palghar,22.97,percent
2026,2026-08-26,Palghar,24.18,percent
2026,2026-08-27,Palghar,26.27,percent
2026,2026-08-28,Palghar,21.44,percent
2026,2026-08-29,Palghar,23.32,percent
2026,2026-08-30,Palghar,24.45,percent
2026,2026-08-31,Palghar,21.67,percent
2026,2026-09-01,Palghar,24.52,percent
2026,2026-09-02,Palghar,23.14,percent
2026,2026-09-03,Palghar,21.48,percent
2026,2026-08-19,Parbhani,18.45,percent
2026,2026-08-20,Parbhani,23.08,percent
2026,2026-08-21,Parbhani,23.35,percent
2026,2026-08-22,Parbhani,19.53,percent
2026,2026-08-23,Parbhani,21.6,percent
2026,2026-08-24,Parbhani,20.26,percent
2026,2026-08-25,Parbhani,25.1,percent
2026,2026-08-26,Parbhani,22.62,percent
2026,2026-08-27,Parbhani,19.97,percent
2026,2026-08-28,Parbhani,21.32,percent
2026,2026-08-29,Parbhani,25.07,percent
2026,2026-08-30,Parbhani,22.88,percent
2026,2026-08-31,Parbhani,25.1,percent
2026,2026-09-01,Parbhani,24.45,percent
2026,2026-09-02,Parbhani,26.53,percent
2026,2026-09-03,Parbhani,24.33,percent
2026,2026-08-19,Pune,41.41,percent
2026,2026-08-20,Pune,40.18,percent
2026,2026-08-21,Pune,41.27,percent
2026,2026-08-22,Pune,40.44,percent
2026,2026-08-23,Pune,42.84,percent
2026,2026-08-24,Pune,41.6,percent
2026,2026-08-25,Pune,44.14,percent
2026,2026-08-26,Pune,43.67,percent
2026,2026-08-27,Pune,42.51,percent
2026,2026-08-28,Pune,41.66,percent
2026,2026-08-29,Pune,42.04,percent
2026,2026-08-30,Pune,44.84,percent
2026,2026-08-31,Pune,46.05,percent
2026,2026-09-01,Pune,45.04,percent
2026,2026-09-02,Pune,46.12,percent
2026,2026-09-03,Pune,44.46,percent
2026,2026-08-19,Raigad,24.12,percent
2026,2026-08-20,Raigad,23.61,percent
2026,2026-08-21,Raigad,23.48,percent
2026,2026-08-22,Raigad,24.38,percent
2026,2026-08-23,Raigad,21.55,percent
2026,2026-08-24,Raigad,21.68,percent
2026,2026-08-25,Raigad,24.03,percent
2026,2026-08-26,Raigad,23.69,percent
2026,2026-08-27,Raigad,19.41,percent
2026,2026-08-28,Raigad,21.05,percent
2026,2026-08-29,Raigad,21.44,percent
2026,2026-08-30,Raigad,20.25,percent
2026,2026-08-31,Raigad,18.58,percent
2026,2026-09-01,Raigad,19.43,percent
2026,2026-09-02,Raigad,21.92,percent
2026,2026-09-03,Raigad,19.57,percent
2026,2026-08-19,Ratnagiri,22.18,percent
2026,2026-08-20,Ratnagiri,21.83,percent
2026,2026-08-21,Ratnagiri,19.71,percent
2026,2026-08-22,Ratnagiri,17.66,percent
2026,2026-08-23,Ratnagiri,19.93,percent
2026,2026-08-24,Ratnagiri,22.54,percent
2026,2026-08-25,Ratnagiri,23.33,percent
2026,2026-08-26,Ratnagiri,24.13,percent
2026,2026-08-27,Ratnagiri,21.12,percent
2026,2026-08-28,Ratnagiri,23.29,percent
2026,2026-08-29,Ratnagiri,22.27,percent
2026,2026-08-30,Ratnagiri,22.81,percent
2026,2026-08-31,Ratnagiri,20.71,percent
2026,2026-09-01,Ratnagiri,20.9,percent
2026,2026-09-02,Ratnagiri,22.39,percent
2026,2026-09-03,Ratnagiri,20.15,percent
2026,2026-08-19,Sangli,21.2,percent
2026,2026-08-20,Sangli,19.39,percent
2026,2026-08-21,Sangli,17.79,percent
2026,2026-08-22,Sangli,19.44,percent
2026,2026-08-23,Sangli,17.24,percent
2026,2026-08-24,Sangli,20.04,percent
2026,2026-08-25,Sangli,16.31,percent
2026,2026-08-26,Sangli,18.34,percent
2026,2026-08-27,Sangli,19.2,percent
2026,2026-08-28,Sangli,15.82,percent
2026,2026-08-29,Sangli,19.35,percent
2026,2026-08-30,Sangli,16.14,percent
2026,2026-08-31,Sangli,17.93,percent
2026,2026-09-01,Sangli,15.3,percent
2026,2026-09-02,Sangli,17.11,percent
2026,2026-09-03,Sangli,15.94,percent
2026,2026-08-19,Satara,38.21,percent
2026,2026-08-20,Satara,35.75,percent
2026,2026-08-21,Satara,37.81,percent
2026,2026-08-22,Satara,38.12,percent
2026,2026-08-23,Satara,34.47,percent
2026,2026-08-24,Satara,33.27,percent
2026,2026-08-25,Satara,32.72,percent
2026,2026-08-26,Satara,35.67,percent
2026,2026-08-27,Satara,38.26,percent
2026,2026-08-28,Satara,34.19,percent
2026,2026-08-29,Satara,35.81,percent
2026,2026-08-30,Satara,36.43,percent
2026,2026-08-31,Satara,35.48,percent
2026,2026-09-01,Satara,35.92,percent
2026,2026-09-02,Satara,36.92,percent
2026,2026-09-03,Satara,32.24,percent
2026,2026-08-19,Sindhudurg,29.2,percent
2026,2026-08-20,Sindhudurg,28.56,percent
2026,2026-08-21,Sindhudurg,31.34,percent
2026,2026-08-22,Sindhudurg,30.23,percent
2026,2026-08-23,Sindhudurg,27.67,percent
2026,2026-08-24,Sindhudurg,30.08,percent
2026,2026-08-25,Sindhudurg,30.01,percent
2026,2026-08-26,Sindhudurg,25.93,percent
2026,2026-08-27,Sindhudurg,28.09,percent
2026,2026-08-28,Sindhudurg,28.45,percent
2026,2026-08-29,Sindhudurg,24.17,percent
2026,2026-08-30,Sindhudurg,27.92,percent
2026,2026-08-31,Sindhudurg,28.31,percent
2026,2026-09-01,Sindhudurg,22.7,percent
2026,2026-09-02,Sindhudurg,21.72,percent
2026,2026-09-03,Sindhudurg,22.96,percent
2026,2026-08-19,Solapur,38.51,percent
2026,2026-08-20,Solapur,35.31,percent
2026,2026-08-21,Solapur,37.4,percent
2026,2026-08-22,Solapur,33.74,percent
2026,2026-08-23,Solapur,37.61,percent
2026,2026-08-24,Solapur,37.41,percent
2026,2026-08-25,Solapur,34.43,percent
2026,2026-08-26,Solapur,38.63,percent
2026,2026-08-27,Solapur,39.28,percent
2026,2026-08-28,Solapur,37.96,percent
2026,2026-08-29,Solapur,35.26,percent
2026,2026-08-30,Solapur,40.61,percent
2026,2026-08-31,Solapur,39.58,percent
2026,2026-09-01,Solapur,37.15,percent
2026,2026-09-02,Solapur,37.81,percent
2026,2026-09-03,Solapur,37.64,percent
2026,2026-08-19,Thane,33.1,percent
2026,2026-08-20,Thane,36.16,percent
2026,2026-08-21,Thane,36.0,percent
2026,2026-08-22,Thane,31.71,percent
2026,2026-08-23,Thane,36.84,percent
2026,2026-08-24,Thane,34.9,percent
2026,2026-08-25,Thane,36.06,percent
2026,2026-08-26,Thane,35.34,percent
2026,2026-08-27,Thane,33.71,percent
2026,2026-08-28,Thane,35.51,percent
2026,2026-08-29,Thane,36.91,percent
2026,2026-08-30,Thane,32.74,percent
2026,2026-08-31,Thane,35.97,percent
2026,2026-09-01,Thane,34.36,percent
2026,2026-09-02,Thane,34.04,percent
2026,2026-09-03,Thane,33.76,percent
2026,2026-08-19,Wardha,28.41,percent
2026,2026-08-20,Wardha,32.14,percent
2026,2026-08-21,Wardha,32.24,percent
2026,2026-08-22,Wardha,28.01,percent
2026,2026-08-23,Wardha,33.01,percent
2026,2026-08-24,Wardha,29.42,percent
2026,2026-08-25,Wardha,30.97,percent
2026,2026-08-26,Wardha,32.08,percent
2026,2026-08-27,Wardha,30.92,percent
2026,2026-08-28,Wardha,29.05,percent
2026,2026-08-29,Wardha,34.21,percent
2026,2026-08-30,Wardha,30.43,percent
2026,2026-08-31,Wardha,30.84,percent
2026,2026-09-01,Wardha,34.59,percent
2026,2026-09-02,Wardha,32.07,percent
2026,2026-09-03,Wardha,35.54,percent
2026,2026-08-19,Washim,38.07,percent
2026,2026-08-20,Washim,36.67,percent
2026,2026-08-21,Washim,42.5,percent
2026,2026-08-22,Washim,37.53,percent
2026,2026-08-23,Washim,41.53,percent
2026,2026-08-24,Washim,40.35,percent
2026,2026-08-25,Washim,42.16,percent
2026,2026-08-26,Washim,41.96,percent
2026,2026-08-27,Washim,41.89,percent
2026,2026-08-28,Washim,41.16,percent
2026,2026-08-29,Washim,43.18,percent
2026,2026-08-30,Washim,39.18,percent
2026,2026-08-31,Washim,40.15,percent
2026,2026-09-01,Washim,43.17,percent
2026,2026-09-02,Washim,41.06,percent
2026,2026-09-03,Washim,42.92,percent
2026,2026-08-19,Yavatmal,26.51,percent
2026,2026-08-20,Yavatmal,25.85,percent
2026,2026-08-21,Yavatmal,27.75,percent
2026,2026-08-22,Yavatmal,25.23,percent
2026,2026-08-23,Yavatmal,27.44,percent
2026,2026-08-24,Yavatmal,24.82,percent
2026,2026-08-25,Yavatmal,24.68,percent
2026,2026-08-26,Yavatmal,23.86,percent
2026,2026-08-27,Yavatmal,24.27,percent
2026,2026-08-28,Yavatmal,23.8,percent
2026,2026-08-29,Yavatmal,26.28,percent
2026,2026-08-30,Yavatmal,27.61,percent
2026,2026-08-31,Yavatmal,24.12,percent
2026,2026-09-01,Yavatmal,24.28,percent
2026,2026-09-02,Yavatmal,25.86,percent
2026,2026-09-03,Yavatmal,27.27,percent
